Loop_Count_1,2013-05-03 10:30:59 +0800
""
ThreadGroup-BRX
Sample Label,Samples,Average,Median,90% Line,Min,Max,Error%,Throughput,KB/s
BRX-TX1,5,1145,887,1209,483,2447,0.0,0.549390176903637,31.677923442478846
BRX-TX2,5,1085,700,1267,692,2072,0.0,0.5028663381273257,28.995253413205273
Total,10,1115.0,793.5,1238.0,483,2447,0.0,1.0522565150309626,60.67317685568412
""
""
ThreadGroup-SLX
Sample Label,Samples,Average,Median,90% Line,Min,Max,Error%,Throughput,KB/s
SLX-TX1,5,953,699,1233,684,1459,0.0,0.5474652359575167,31.56650333953794
SLX-TX2,5,1206,877,1672,490,2308,0.0,0.5224114512590116,30.122223872897294
Total,10,1079.5,788.0,1452.5,490,2308,0.0,1.0698766872165284,61.68872721243524
""
""
""
Loop_Count_2,2013-05-03 10:31:18 +0800
""
ThreadGroup-BRX
Sample Label,Samples,Average,Median,90% Line,Min,Max,Error%,Throughput,KB/s
BRX-TX1,5,1142,878,1660,682,1745,0.0,0.5414185165132648,31.21869924201408
BRX-TX2,5,1006,879,916,682,1684,0.0,0.5451968160505942,31.43687898675172
Total,10,1074.0,878.5,1288.0,682,1745,0.0,1.086615332563859,62.6555782287658
""
""
ThreadGroup-SLX
Sample Label,Samples,Average,Median,90% Line,Min,Max,Error%,Throughput,KB/s
SLX-TX1,5,1334,1337,1464,680,2313,0.0,0.41480006636801064,23.91776070184171
SLX-TX2,5,1155,881,1454,679,2080,0.0,0.4395990856339019,25.3472661058115
Total,10,1244.5,1109.0,1459.0,679,2313,0.0,0.8543991520019125,49.265026807653214
""
""
""
